comparison,axis,baseline,target,a,b,spearman,top50_jaccard
cell_bootstrap,drug0,zero,norm_squared,0,18,0.9047884638163122,0.6949152542372882
cell_bootstrap,drug0,zero,norm_squared,0,19,0.8981639240274348,0.7857142857142857
cell_bootstrap,drug0,zero,norm_squared,0,20,0.9471301483737388,0.6949152542372882
cell_bootstrap,drug0,zero,norm_squared,0,21,0.9351538161797884,0.639344262295082
cell_bootstrap,drug0,zero,norm_squared,0,22,0.9396009727432376,0.5873015873015873
cell_bootstrap,drug0,zero,norm_squared,0,23,0.9613313040156449,0.6949152542372882
cell_bootstrap,drug0,zero,norm_squared,0,24,0.8849343409507032,0.6949152542372882
cell_bootstrap,drug0,zero,norm_squared,0,25,0.902392861484577,0.6129032258064516
cell_bootstrap,drug0,zero,norm_squared,0,26,0.8986783125186604,0.5151515151515151
cell_bootstrap,drug0,zero,norm_squared,0,27,0.9478402757190371,0.8867924528301887
cell_bootstrap,drug0,zero,norm_squared,0,28,0.955992208205576,0.47058823529411764
cell_bootstrap,drug0,zero,norm_squared,0,29,0.9314574490166672,0.47058823529411764
cell_bootstrap,drug0,zero,norm_squared,0,30,0.9645751527798251,0.639344262295082
cell_bootstrap,drug0,zero,norm_squared,0,31,0.8937930033380225,0.7241379310344828
cell_bootstrap,drug0,zero,norm_squared,0,32,0.9548808708520788,0.3888888888888889
cell_bootstrap,drug0,zero,norm_squared,0,33,0.9667220273801168,0.8867924528301887
cell_bootstrap,drug0,zero,norm_squared,0,34,0.9548181156084424,0.7857142857142857
cell_bootstrap,drug0,zero,norm_squared,0,35,0.9557000759397603,0.5625
cell_bootstrap,drug0,zero,norm_squared,0,36,0.894851033612622,0.639344262295082
cell_bootstrap,drug0,zero,norm_squared,0,37,0.9121299178789325,0.3888888888888889
cell_bootstrap,drug0,zero,norm_squared,0,38,0.9482910408979194,0.6949152542372882
cell_bootstrap,drug0,zero,norm_squared,0,39,0.9282948217300679,0.7241379310344828
cell_bootstrap,drug0,zero,norm_squared,0,40,0.9335688012191069,0.6129032258064516
cell_bootstrap,drug0,zero,norm_squared,0,41,0.9599848699888095,0.3333333333333333
cell_bootstrap,drug0,zero,norm_squared,0,42,0.9601219562953873,0.8181818181818182
cell_bootstrap,drug0,zero,norm_squared,0,43,0.9596237705329097,0.639344262295082
cell_bootstrap,drug0,zero,norm_squared,0,44,0.9451035184151769,0.6949152542372882
cell_bootstrap,drug0,zero,norm_squared,0,45,0.9025768715399839,0.7241379310344828
cell_bootstrap,drug0,zero,norm_squared,0,46,0.940275384898385,0.5873015873015873
cell_bootstrap,drug0,zero,norm_squared,0,47,0.9446378592006613,0.5873015873015873
cell_bootstrap,drug0,zero,norm_squared,0,48,0.8903382913484111,0.6129032258064516
cell_bootstrap,drug0,zero,norm_squared,0,49,0.897554010987754,0.4492753623188406
cell_bootstrap,drug0,zero,norm_squared,0,50,0.8940080337799371,0.5151515151515151
cell_bootstrap,drug0,zero,norm_squared,0,51,0.9471766990657228,0.6129032258064516
cell_bootstrap,drug0,zero,norm_squared,0,52,0.8871970151307594,0.6129032258064516
cell_bootstrap,drug0,zero,norm_squared,0,53,0.9581878131964122,0.9230769230769231
cell_bootstrap,drug0,zero,norm_squared,0,54,0.8929636107560187,0.7543859649122807
cell_bootstrap,drug0,zero,norm_squared,0,55,0.9341359653859962,0.639344262295082
cell_bootstrap,drug0,zero,norm_squared,0,56,0.8925210841013257,0.6949152542372882
